sample_idx,true_label_encoded,pred_label_encoded,true_label,pred_label,is_correct
0,3,3,normal,normal,True
1,3,3,normal,normal,True
2,3,3,normal,normal,True
3,1,1,MITM,MITM,True
4,3,3,normal,normal,True
5,0,0,DoS,DoS,True
6,3,3,normal,normal,True
7,3,3,normal,normal,True
8,3,3,normal,normal,True
9,3,3,normal,normal,True
10,1,1,MITM,MITM,True
11,3,3,normal,normal,True
12,3,3,normal,normal,True
13,3,3,normal,normal,True
14,3,3,normal,normal,True
15,3,3,normal,normal,True
16,4,4,physical fault,physical fault,True
17,3,3,normal,normal,True
18,3,3,normal,normal,True
19,4,4,physical fault,physical fault,True
20,3,3,normal,normal,True
21,3,3,normal,normal,True
22,3,3,normal,normal,True
23,3,3,normal,normal,True
24,3,3,normal,normal,True
25,3,3,normal,normal,True
26,3,3,normal,normal,True
27,3,3,normal,normal,True
28,0,0,DoS,DoS,True
29,3,3,normal,normal,True
30,3,3,normal,normal,True
31,3,3,normal,normal,True
32,3,3,normal,normal,True
33,3,3,normal,normal,True
34,3,3,normal,normal,True
35,3,3,normal,normal,True
36,3,3,normal,normal,True
37,1,1,MITM,MITM,True
38,4,4,physical fault,physical fault,True
39,1,1,MITM,MITM,True
40,1,1,MITM,MITM,True
41,3,3,normal,normal,True
42,3,3,normal,normal,True
43,3,3,normal,normal,True
44,3,3,normal,normal,True
45,3,3,normal,normal,True
46,3,3,normal,normal,True
47,3,3,normal,normal,True
48,3,3,normal,normal,True
49,3,3,normal,normal,True
50,3,3,normal,normal,True
51,3,3,normal,normal,True
52,3,3,normal,normal,True
53,0,0,DoS,DoS,True
54,3,3,normal,normal,True
55,1,1,MITM,MITM,True
56,3,3,normal,normal,True
57,1,3,MITM,normal,False
58,1,1,MITM,MITM,True
59,3,3,normal,normal,True
60,3,3,normal,normal,True
61,4,4,physical fault,physical fault,True
62,1,3,MITM,normal,False
63,4,4,physical fault,physical fault,True
64,3,3,normal,normal,True
65,4,4,physical fault,physical fault,True
66,3,3,normal,normal,True
67,3,3,normal,normal,True
68,3,3,normal,normal,True
69,1,1,MITM,MITM,True
70,3,3,normal,normal,True
71,3,3,normal,normal,True
72,3,3,normal,normal,True
73,3,3,normal,normal,True
74,3,3,normal,normal,True
75,3,3,normal,normal,True
76,3,3,normal,normal,True
77,3,3,normal,normal,True
78,3,3,normal,normal,True
79,0,0,DoS,DoS,True
80,1,1,MITM,MITM,True
81,1,1,MITM,MITM,True
82,1,1,MITM,MITM,True
83,3,3,normal,normal,True
84,3,3,normal,normal,True
85,3,3,normal,normal,True
86,3,3,normal,normal,True
87,4,4,physical fault,physical fault,True
88,1,1,MITM,MITM,True
89,3,3,normal,normal,True
90,4,4,physical fault,physical fault,True
91,3,3,normal,normal,True
92,3,3,normal,normal,True
93,3,3,normal,normal,True
94,3,3,normal,normal,True
95,3,3,normal,normal,True
96,3,3,normal,normal,True
97,0,0,DoS,DoS,True
98,1,1,MITM,MITM,True
99,3,3,normal,normal,True
100,3,3,normal,normal,True
101,3,3,normal,normal,True
102,3,3,normal,normal,True
103,3,3,normal,normal,True
104,3,3,normal,normal,True
105,3,3,normal,normal,True
106,0,0,DoS,DoS,True
107,3,3,normal,normal,True
108,1,1,MITM,MITM,True
109,2,2,nomal,nomal,True
110,3,3,normal,normal,True
111,1,1,MITM,MITM,True
112,3,3,normal,normal,True
113,3,3,normal,normal,True
114,1,1,MITM,MITM,True
115,3,3,normal,normal,True
116,3,3,normal,normal,True
117,3,3,normal,normal,True
118,4,4,physical fault,physical fault,True
119,2,2,nomal,nomal,True
120,3,3,normal,normal,True
121,1,3,MITM,normal,False
122,3,3,normal,normal,True
123,3,3,normal,normal,True
124,3,3,normal,normal,True
125,3,3,normal,normal,True
126,1,1,MITM,MITM,True
127,3,3,normal,normal,True
128,3,3,normal,normal,True
129,3,3,normal,normal,True
130,3,3,normal,normal,True
131,1,1,MITM,MITM,True
132,3,3,normal,normal,True
133,3,3,normal,normal,True
134,3,3,normal,normal,True
135,3,3,normal,normal,True
136,3,3,normal,normal,True
137,3,3,normal,normal,True
138,4,4,physical fault,physical fault,True
139,3,3,normal,normal,True
140,3,3,normal,normal,True
141,3,3,normal,normal,True
142,3,3,normal,normal,True
143,1,1,MITM,MITM,True
144,3,3,normal,normal,True
145,0,0,DoS,DoS,True
146,3,3,normal,normal,True
147,3,3,normal,normal,True
148,3,3,normal,normal,True
149,4,4,physical fault,physical fault,True
150,3,3,normal,normal,True
151,4,4,physical fault,physical fault,True
152,0,0,DoS,DoS,True
153,1,1,MITM,MITM,True
154,0,0,DoS,DoS,True
155,1,1,MITM,MITM,True
156,3,3,normal,normal,True
157,3,3,normal,normal,True
158,3,3,normal,normal,True
159,3,3,normal,normal,True
160,1,3,MITM,normal,False
161,3,3,normal,normal,True
162,3,3,normal,normal,True
163,3,3,normal,normal,True
164,3,3,normal,normal,True
165,3,3,normal,normal,True
166,3,3,normal,normal,True
167,0,0,DoS,DoS,True
168,0,0,DoS,DoS,True
169,3,3,normal,normal,True
170,3,3,normal,normal,True
171,3,3,normal,normal,True
172,2,2,nomal,nomal,True
173,3,3,normal,normal,True
174,3,3,normal,normal,True
175,1,3,MITM,normal,False
176,1,1,MITM,MITM,True
177,3,3,normal,normal,True
178,1,3,MITM,normal,False
179,2,2,nomal,nomal,True
180,1,1,MITM,MITM,True
181,3,3,normal,normal,True
182,4,4,physical fault,physical fault,True
183,3,3,normal,normal,True
184,4,4,physical fault,physical fault,True
185,3,3,normal,normal,True
186,4,4,physical fault,physical fault,True
187,3,3,normal,normal,True
188,4,3,physical fault,normal,False
189,3,3,normal,normal,True
190,2,2,nomal,nomal,True
191,3,3,normal,normal,True
192,3,3,normal,normal,True
193,3,3,normal,normal,True
194,3,3,normal,normal,True
195,3,3,normal,normal,True
196,3,3,normal,normal,True
197,3,3,normal,normal,True
198,3,3,normal,normal,True
199,3,3,normal,normal,True
200,3,3,normal,normal,True
201,3,3,normal,normal,True
202,3,3,normal,normal,True
203,3,3,normal,normal,True
204,3,3,normal,normal,True
205,3,3,normal,normal,True
206,4,4,physical fault,physical fault,True
207,3,3,normal,normal,True
208,3,3,normal,normal,True
209,3,3,normal,normal,True
210,3,3,normal,normal,True
211,0,0,DoS,DoS,True
212,3,3,normal,normal,True
213,0,0,DoS,DoS,True
214,1,1,MITM,MITM,True
215,3,3,normal,normal,True
216,3,3,normal,normal,True
217,3,3,normal,normal,True
218,3,3,normal,normal,True
219,3,3,normal,normal,True
220,3,3,normal,normal,True
221,3,3,normal,normal,True
222,3,3,normal,normal,True
223,3,3,normal,normal,True
224,3,3,normal,normal,True
225,3,3,normal,normal,True
226,3,3,normal,normal,True
227,3,3,normal,normal,True
228,3,3,normal,normal,True
229,3,3,normal,normal,True
230,3,3,normal,normal,True
231,3,3,normal,normal,True
232,3,3,normal,normal,True
233,3,3,normal,normal,True
234,0,0,DoS,DoS,True
235,3,3,normal,normal,True
236,3,3,normal,normal,True
237,0,0,DoS,DoS,True
238,3,3,normal,normal,True
239,3,3,normal,normal,True
240,3,3,normal,normal,True
241,3,3,normal,normal,True
242,3,3,normal,normal,True
243,3,3,normal,normal,True
244,3,3,normal,normal,True
245,3,3,normal,normal,True
246,2,2,nomal,nomal,True
247,3,3,normal,normal,True
248,3,3,normal,normal,True
249,2,2,nomal,nomal,True
250,3,3,normal,normal,True
251,3,3,normal,normal,True
252,1,1,MITM,MITM,True
253,3,3,normal,normal,True
254,3,3,normal,normal,True
255,3,3,normal,normal,True
256,3,3,normal,normal,True
257,4,4,physical fault,physical fault,True
258,3,3,normal,normal,True
259,3,3,normal,normal,True
260,3,3,normal,normal,True
261,3,3,normal,normal,True
262,1,1,MITM,MITM,True
263,3,3,normal,normal,True
264,1,1,MITM,MITM,True
265,3,3,normal,normal,True
266,3,3,normal,normal,True
267,3,3,normal,normal,True
268,4,4,physical fault,physical fault,True
269,3,3,normal,normal,True
270,3,3,normal,normal,True
271,3,3,normal,normal,True
272,3,3,normal,normal,True
273,3,3,normal,normal,True
274,0,0,DoS,DoS,True
275,3,3,normal,normal,True
276,1,3,MITM,normal,False
277,3,3,normal,normal,True
278,3,3,normal,normal,True
279,3,3,normal,normal,True
280,3,3,normal,normal,True
281,3,3,normal,normal,True
282,3,3,normal,normal,True
283,3,3,normal,normal,True
284,3,3,normal,normal,True
285,4,4,physical fault,physical fault,True
286,1,1,MITM,MITM,True
287,3,3,normal,normal,True
288,4,4,physical fault,physical fault,True
289,3,3,normal,normal,True
290,0,0,DoS,DoS,True
291,3,3,normal,normal,True
292,3,3,normal,normal,True
293,3,3,normal,normal,True
294,3,3,normal,normal,True
295,3,3,normal,normal,True
296,1,1,MITM,MITM,True
297,3,3,normal,normal,True
298,3,3,normal,normal,True
299,4,4,physical fault,physical fault,True
300,3,3,normal,normal,True
301,1,1,MITM,MITM,True
302,1,1,MITM,MITM,True
303,3,3,normal,normal,True
304,3,3,normal,normal,True
305,4,4,physical fault,physical fault,True
306,3,3,normal,normal,True
307,4,4,physical fault,physical fault,True
308,3,3,normal,normal,True
309,0,0,DoS,DoS,True
310,3,3,normal,normal,True
311,3,3,normal,normal,True
312,3,3,normal,normal,True
313,1,1,MITM,MITM,True
314,3,3,normal,normal,True
315,1,1,MITM,MITM,True
316,3,3,normal,normal,True
317,3,3,normal,normal,True
318,3,3,normal,normal,True
319,3,3,normal,normal,True
320,3,3,normal,normal,True
